,Name,Stocktype,Mileage_(Miles),Price,Ext_color,Int_color,Transmission,Body_style
23,2004 Ford Ranger XLT,Used,"60,869 mi.","$12,900",Red,Gray,Automatic,Extended Cab Pickup
24,2017 Subaru Impreza 2.0i,Used,"21,170 mi.","$11,300",Silver,Black,CVT,Sedan
25,2018 Ford Fiesta SE,Used,"16,886 mi.","$8,000",Silver,Black,Automatic,Sedan
26,2007 Buick Lucerne CXL,Used,"85,914 mi.","$5,450",Silver,Gray,Automatic,Sedan
27,2016 Dodge Dart SXT,Used,"55,010 mi.","$8,700",Gray,Black,Automatic,Sedan
28,2016 Dodge Dart SE,Used,"43,635 mi.","$8,000",Silver,Black,Manual,Sedan
29,2015 Subaru Legacy 2.5i Premium,Used,"28,780 mi.","$11,950",Blue,White,CVT,Sedan
30,2008 Toyota Yaris S,Used,"147,804 mi.","$4,491",Blue,Gray,Automatic,Sedan
31,2008 Honda Civic EX,Used,"171,212 mi.","$3,199",Black,Black,Manual,Coupe
32,2000 Volkswagen Eurovan GLS,Used,"91,765 mi.","$11,499",White,Gray,Automatic,Minivan
33,2020 Chevrolet Spark LS,New,NA,"$13,095",Gray,Black,Manual,Hatchback
34,2020 Chevrolet Spark LS,New,NA,"$14,495",Red,Black,CVT,Hatchback
35,2020 Chevrolet Spark LS,New,NA,"$13,095",Gray,Black,Manual,Hatchback
36,2014 Mazda Mazda6 i Grand Touring,Used,"71,619 mi.","$13,999",Red,Beige,Automatic,Sedan
37,2016 Ford Fusion SE,Used,"18,446 mi.","$13,888",Other,Other,Automatic,Sedan
38,2015 Kia Cadenza SX Limited,Used,"63,825 mi.","$14,888",Other,Black,Automatic,Sedan
39,2015 Hyundai Accent GLS,Used,"76,314 mi.","$6,995",Gray,Gray,Automatic,Sedan
40,2008 Volvo S80 3.2,Used,"78,406 mi.","$5,995",Silver,Black,Automatic,Sedan
41,2008 Toyota Tundra ONLY 126K MILES BRAND NEW TIRES,Used,"126,124 mi.","$13,995",Gray,Gray,Automatic,Crew Cab Pickup
42,2006 Ford F-250 Super Duty,Used,"95,640 mi.","$13,995",Gray,Gray,Automatic,Crew Cab Pickup
43,2013 Subaru Impreza 2.0i Limited,Used,"19,351 mi.","$10,995",Silver,Black,CVT,Hatchback
44,1990 Jaguar XJS,Used,"38,675 mi.","$14,995",Black,Black,Automatic,Coupe
45,2012 Nissan Xterra S,Used,"120,000 mi.","$11,995",White,Gray,Automatic,SUV
46,2013 Kia Soul !,Used,"64,175 mi.","$6,995",White,Black,Automatic,Wagon
47,2019 Chevrolet Cruze LS,Used,"16,062 mi.","$13,990",Silver,Black,Automatic,Sedan
48,2016 Chrysler 300 S,Used,"61,900 mi.","$14,495",Blue,Black,Automatic,Sedan
49,2013 Subaru BRZ Limited,Used,"58,021 mi.","$13,995",White,Gray,Automatic,Coupe
50,2013 Chevrolet Traverse 2LT,Used,"91,250 mi.","$13,990",Black,Black,Automatic,SUV
51,2006 Ford E250 E-250,Used,"126,000 mi.","$7,995",White,Gray,Automatic,Cargo Van
52,2014 Jeep Patriot Latitude,Used,"47,599 mi.","$9,873",White,Gray,Manual,SUV
53,2015 Chevrolet Spark 1LT,Used,"57,026 mi.","$7,990",Black,Silver,CVT,Hatchback
54,2013 Volkswagen Passat 2.0 TDI SE,Used,"42,630 mi.","$9,990",Blue,Beige,Automatic,Sedan
55,2009 Jaguar XF Premium Luxury,Used,"76,546 mi.","$9,995",Gold,Other,Automatic,Sedan
56,2013 Ford Fiesta SE,Used,"115,146 mi.","$5,995",Silver,Other,Manual,Sedan
57,2016 Chevrolet Malibu LS,Used,"39,803 mi.","$12,995",Silver,Other,Automatic,Sedan
58,2013 Volkswagen Passat 2.0 TDI SE,Used,"91,718 mi.","$7,990",Gray,Gray,Automatic,Sedan
59,2012 Hyundai Elantra Limited,Used,"36,220 mi.","$9,990",Black,Gray,Automatic,Sedan
60,2017 Buick Encore Preferred,Used,"70,095 mi.","$10,590",Black,Black,Automatic,SUV
61,2017 Chevrolet Malibu 1LS,Used,"39,119 mi.","$11,990",White,Black,Automatic,Sedan
62,2010 Toyota Camry LE,Used,"159,319 mi.","$5,990",Gray,Gray,Automatic,Sedan
63,2011 Lexus IS 250 Base,Used,"92,305 mi.","$12,990",Black,Gray,Automatic,Sedan
64,2011 Lexus IS 350 Base,Used,"121,474 mi.","$13,900",White,Black,Automatic,Sedan
65,2011 Ford Edge Sport,Used,"90,374 mi.","$10,941",Black,Black,Automatic,SUV
66,2015 Chrysler 200 Limited,Used,"87,571 mi.","$8,790",Gray,Black,Automatic,Sedan
67,2014 Jeep Patriot Limited,Used,"68,785 mi.","$11,900",Gray,Gray,Automatic,SUV
68,2009 Ford Ranger Sport,Used,"111,252 mi.","$7,890",Blue,Other,Manual,Extended Cab Pickup
69,2017 Kia Forte LX,Used,"26,687 mi.","$12,790",Red,Black,Automatic,Hatchback
70,2014 Mazda CX-9 Grand Touring,Used,"96,368 mi.","$11,991",Gray,Black,Automatic,SUV
71,2015 Chrysler 200 S,Used,"36,736 mi.","$13,599",Black,Black,Automatic,Sedan
72,2013 Hyundai Tucson GLS,Used,"53,703 mi.","$12,590",Gray,Black,Automatic,SUV
73,2013 Hyundai Elantra Limited,Used,"79,761 mi.","$8,852",White,Black,Automatic,Sedan
74,2008 Toyota Sienna XLE Limited,Used,"132,541 mi.","$8,801",Silver,Other,Automatic,Minivan
75,2015 Hyundai Accent GLS,Used,"53,154 mi.","$10,599",Silver,Gray,Automatic,Sedan
76,2016 Chrysler 300 Limited,Used,"62,849 mi.","$13,290",Gray,Black,Automatic,Sedan
77,2009 Volvo XC90 3.2,Used,"61,581 mi.","$10,991",Gray,Gray,Automatic,SUV
78,2015 Dodge Dart SXT,Used,"75,734 mi.","$8,867",Red,Gray,Automatic,Sedan
79,2009 Mazda Mazda5 Sport,Used,"135,264 mi.","$3,995",Red,Beige,Automatic,Wagon
80,2011 Chevrolet Equinox LS,Used,"65,091 mi.","$9,345",White,Black,Automatic,SUV
81,2013 FIAT 500e Battery Electric,Used,"64,620 mi.","$5,995",Orange,White,Automatic,Hatchback
82,2018 Chevrolet Malibu LT,Used,"44,467 mi.","$13,413",Silver,Black,Automatic,Sedan
83,2012 Land Rover LR2 Base,Used,"116,084 mi.","$9,887",Red,Beige,Automatic,SUV
84,2008 Honda Civic LX,Used,"66,131 mi.","$7,500",Black,Gray,Automatic,Sedan
85,2004 Ford F-150 XLT SuperCrew,Used,"66,447 mi.","$12,987",Silver,Other,Automatic,Crew Cab Pickup
86,2017 Hyundai Santa Fe Sport 2.4L,Used,"61,005 mi.","$13,987",Gray,Beige,Automatic,SUV
87,2017 Buick Encore Preferred,Used,"33,300 mi.","$13,966",Black,Black,Automatic,SUV
88,2013 Hyundai Veloster Base,Used,"42,440 mi.","$9,539",Silver,Black,Manual,Hatchback
89,2017 Ford Fiesta SE,Used,"55,175 mi.","$10,300",White,Black,Automatic,Sedan
90,2004 Audi A4 3.0 quattro,Used,"136,000 mi.","$1,500",Gray,Black,Automanual,Sedan
91,2012 Nissan Versa 1.6 SL,Used,"101,723 mi.","$4,000",White,Gray,CVT,Sedan
92,2016 Ford Fusion SE,Used,"71,485 mi.","$11,995",White,Beige,Automatic,Sedan
93,2011 Audi A5 2.0T Premium Plus quattro,Used,"96,780 mi.","$11,990",Silver,Black,Automatic,Coupe
94,2016 Volkswagen Jetta 1.8T Sport,Used,"43,581 mi.","$12,990",Black,Black,Automatic,Sedan
95,2016 Jeep Patriot Sport,Used,"49,168 mi.","$11,990",Black,Gray,Automatic,SUV
96,2013 Chrysler 200 Limited,Used,"78,224 mi.","$7,990",Silver,Black,Automatic,Sedan
97,2016 Dodge Grand Caravan AVP/SE,Used,"34,850 mi.","$14,998",Gray,Black,Automatic,Minivan
98,2018 Nissan Sentra S,Used,"39,172 mi.","$10,990",White,Gray,CVT,Sedan
99,2009 Volkswagen Routan SE,Used,"140,816 mi.","$5,995",Black,Gold,Automatic,Minivan
100,2016 Ford Fusion Titanium,Used,"44,222 mi.","$14,978",White,Black,Automatic,Sedan
101,2015 Subaru Forester 2.5i Limited,Used,"9,710 mi.","$14,291",Silver,Black,CVT,SUV
102,2015 Toyota Prius c Four,Used,"57,328 mi.","$11,791",Red,Black,CVT,Hatchback
103,2016 Chevrolet Equinox LT,Used,"48,808 mi.","$10,991",Silver,Black,Automatic,SUV
104,2015 Volkswagen Jetta 2.0L S,Used,"54,627 mi.","$8,991",White,Black,Automatic,Sedan
105,2011 Dodge Challenger Base,Used,"81,289 mi.","$14,991",Silver,Black,Automatic,Coupe
106,2018 Chevrolet Malibu LT,Used,"66,487 mi.","$12,255",White,Black,Automatic,Sedan
107,2013 GMC Acadia Denali,Used,"145,436 mi.","$14,688",Black,Black,Automatic,SUV
108,2018 Nissan Sentra S,Used,"44,920 mi.","$11,488",White,Black,CVT,Sedan
109,2011 Ford Fiesta SES,Used,"76,225 mi.","$5,995",Yellow,Black,Manual,Hatchback
110,2015 Ford Focus SE,Used,"62,616 mi.","$8,988",Gray,Black,Automatic,Sedan
111,2018 Nissan Sentra S,Used,"42,204 mi.","$10,965",Silver,Black,Manual,Sedan
112,2014 Ford Transit Connect XLT,Used,"63,210 mi.","$14,988",Blue,Gray,Automatic,Cargo Van
113,2018 Nissan Sentra S,Used,"36,401 mi.","$11,062",Gray,Black,CVT,Sedan
114,2017 Ford Fusion Hybrid SE,Used,"71,418 mi.","$12,198",Silver,Black,CVT,Sedan
115,2008 Mazda Tribute i Sport,Used,"82,045 mi.","$6,995",Black,Beige,Automatic,SUV
116,2017 Nissan Altima 2.5 SV,Used,"51,447 mi.","$13,991",Gray,Gray,CVT,Sedan
117,2012 Subaru Impreza WRX,Used,"59,892 mi.","$14,993",Silver,Black,Manual,Sedan
118,2012 Nissan Altima 2.5 S,Used,"113,881 mi.","$6,792",Red,Gray,CVT,Coupe
119,2012 Chrysler Town & Country Touring-L,Used,"151,740 mi.","$8,990",Black,Black,Automatic,Minivan
120,2019 Nissan Altima 2.5 S,Used,"34,192 mi.","$14,990",Blue,Gray,CVT,Sedan
121,2016 Hyundai Veloster Base,Used,"44,289 mi.","$10,991",Yellow,Black,Automatic,Hatchback
122,2018 Dodge Grand Caravan SXT,Used,"44,632 mi.","$14,810",White,Black,Automatic,Minivan
123,2017 Subaru Outback 2.5i Limited,Used,"38,929 mi.","$14,950",Gray,Black,CVT,SUV
124,2009 Subaru Forester 2.5X,Used,"77,643 mi.","$9,500",Blue,Gray,Automatic,SUV
125,2015 Mitsubishi Outlander Sport ES,Used,"12,812 mi.","$14,998",Black,Other,Manual,SUV
126,2010 Buick Enclave 1XL,Used,"103,213 mi.","$9,991",Silver,Black,Automatic,SUV
127,2014 Buick Encore Premium,Used,"42,200 mi.","$12,419",Silver,Other,Automatic,SUV
128,2013 Hyundai Elantra GLS,Used,"73,158 mi.","$7,350",Gray,Gray,Automatic,Sedan
129,2017 Toyota Camry SE,Used,"46,046 mi.","$13,500",Gray,Black,Automatic,Sedan
130,2017 Chevrolet Malibu 1FL,Used,"41,276 mi.","$12,888",Other,Other,Automatic,Sedan
131,2016 Jeep Patriot Sport,Used,"62,940 mi.","$11,888",Other,Other,Automatic,SUV
132,2013 Volvo XC60 T6 Premier Plus,Used,"94,429 mi.","$14,200",White,Beige,Automatic,SUV
133,2016 Ford Focus S,Used,"64,035 mi.","$8,888",Other,Other,Automatic,Sedan
134,2010 Dodge Grand Caravan SE,Used,"65,976 mi.","$8,888",Other,Other,Automatic,Minivan
135,2016 Dodge Dart SXT/Rallye,Used,"36,292 mi.","$11,888",Other,Black,Automatic,Sedan
136,2018 Nissan Sentra SV,Used,"31,179 mi.","$11,999",White,Gray,CVT,Sedan
137,2013 Volvo S60 T5,Used,"70,538 mi.","$8,995",Blue,Black,Automatic,Sedan
138,2014 Nissan Versa Note S,Used,"79,018 mi.","$5,995",Black,Black,Manual,Hatchback
139,2015 Volkswagen CC 2.0T R-Line,Used,"50,832 mi.","$14,995",Gray,Gray,Automatic,Sedan
140,2008 BMW X3 3.0si,Used,"60,243 mi.","$10,995",White,Gray,Automatic,SUV
141,2011 Cadillac CTS Performance,Used,"74,916 mi.","$12,995",Black,Black,Automatic,Coupe
142,2017 Dodge Grand Caravan SXT,Used,"69,428 mi.","$13,783",Red,Black,Automatic,Minivan
143,2014 Scion tC ONLY 63K HEATED NAVI SPOILER,Used,"63,838 mi.","$10,995",Black,Black,Automatic,Coupe
144,2014 BMW 328 Gran Turismo i xDrive,Used,"76,416 mi.","$14,990",Gray,Other,Automatic,Hatchback
145,2017 Hyundai Sonata Sport 2.0T,Used,"61,651 mi.","$13,995",Black,Gray,Automatic,Sedan
146,2010 Buick LaCrosse CXL,Used,"92,000 mi.","$9,500",Black,Black,Automatic,Sedan
147,1999 Chevrolet Astro EXT 111 WB,Used,"86,000 mi.","$8,995",White,Gray,Automatic,Passenger Van
148,2013 Nissan Pathfinder S,Used,"90,941 mi.","$11,995",Red,Beige,CVT,SUV
149,2014 Nissan Sentra SR,Used,"69,764 mi.","$8,995",Gray,Other,CVT,Sedan
150,2009 Toyota RAV4 Base,Used,"87,073 mi.","$8,999",Red,Gray,Automatic,SUV
151,2015 Chrysler Town & Country Touring,Used,"87,346 mi.","$9,995",Silver,Gray,Automatic,Minivan
152,2017 Volkswagen Golf SportWagen TSI S,Volkswagen Certified,"72,678 mi.","$10,990",Gray,Black,Automatic,Wagon
153,2015 Honda CR-V LX,Used,"74,428 mi.","$13,995",Gray,Other,CVT,SUV
154,2016 Volkswagen Passat 1.8T S,Used,"62,505 mi.","$8,790",Silver,Black,Automatic,Sedan
155,2014 Jaguar XF I4 T,Used,"78,464 mi.","$13,990",Black,Gray,Automatic,Sedan
156,2008 Audi A4 2.0T,Used,"77,127 mi.","$6,990",Other,Other,Automatic,Sedan
157,2013 Nissan Rogue S,Used,"55,413 mi.","$10,990",Blue,Black,CVT,SUV
158,2008 Subaru Impreza 2.5i,Used,"125,378 mi.","$4,988",Black,White,Manual,Sedan
159,2015 Jeep Patriot Sport,Used,"39,840 mi.","$9,688",Red,Other,Automatic,SUV
160,2016 Nissan Altima 2.5 S,Used,"77,175 mi.","$9,590",Gray,Gray,CVT,Sedan
161,2010 Nissan Altima 2.5 S,Used,"85,360 mi.","$7,390",Gray,Gray,CVT,Sedan
162,2016 Honda HR-V LX,Used,"67,011 mi.","$14,990",Gray,Black,CVT,SUV
163,2011 Audi A3 2.0T Premium,Used,"79,690 mi.","$9,987",Gray,Black,Automatic,Hatchback
164,2013 Subaru Impreza 2.0i Sport Limited,Used,"83,629 mi.","$11,900",Silver,Black,CVT,Hatchback
165,2016 Buick Verano Sport Touring Group,Used,"46,187 mi.","$12,790",Black,Gray,Automatic,Sedan
166,2014 Ford Fusion SE,Used,"75,219 mi.","$8,790",White,Other,Automatic,Sedan
167,2018 FIAT 500 Lounge,Used,"4,367 mi.","$12,599",White,Black,Automatic,Hatchback
168,2015 Nissan Altima 2.5 SV,Used,"48,979 mi.","$14,599",Silver,Black,CVT,Sedan
169,2017 Nissan Quest SV,Used,"81,337 mi.","$12,981",Gray,Gray,CVT,Minivan
170,2013 Lexus ES 350 Base,Used,"112,359 mi.","$11,295",White,Beige,Automatic,Sedan
171,2018 Ford Fusion Hybrid SE,Used,"41,654 mi.","$14,599",Silver,White,CVT,Sedan
172,2016 Volkswagen Golf SportWagen TSI S 4-Door,Used,"27,479 mi.","$14,114",Blue,Beige,Automatic,Wagon
173,2011 Volkswagen Tiguan SE,Used,"83,068 mi.","$10,182",Blue,Gray,Automatic,SUV
174,2013 Ford Sedan Police Interceptor Base,Used,"99,811 mi.","$12,995",Black,Other,Automatic,Sedan
175,2017 Mazda Mazda3 Touring,Used,"93,190 mi.","$10,995",Silver,Black,Automatic,Hatchback
176,2009 Buick Enclave CXL,Used,"119,470 mi.","$10,500",Brown,Black,Automatic,SUV
177,2018 Chevrolet Malibu LT,Used,"31,532 mi.","$14,418",Silver,Black,Automatic,Sedan
178,2006 Toyota Tundra SR5,Used,"123,788 mi.","$10,997",Red,Gray,Automatic,Crew Cab Pickup
179,2012 Volkswagen Passat 2.0 TDI SEL Premium,Used,"74,877 mi.","$9,988",Black,Black,Automatic,Sedan
180,2007 Nissan Versa S,Used,"125,220 mi.","$3,995",Gray,Gray,Automatic,Hatchback
181,2018 Volkswagen Passat,Used,"45,502 mi.","$14,995",Silver,Other,Automatic,Sedan
182,2016 Jeep Compass Sport,Used,"50,174 mi.","$13,987",White,Gray,Automatic,SUV
183,2014 Ford C-Max Energi SEL,Used,"49,731 mi.","$11,200",Red,Black,CVT,Hatchback
184,2019 Nissan Sentra SV,Used,"9,700 mi.","$13,964",Red,Gray,CVT,Sedan
185,2011 Subaru Forester 2.5 X,Used,"85,469 mi.","$9,995",Silver,Gray,Automatic,SUV
186,2013 Volkswagen Passat 2.0 TDI SE,Used,"62,398 mi.","$8,990",Silver,Black,Manual,Sedan
187,2014 Volkswagen Passat 2.0L TDI DSG SEL Premium,Used,"22,522 mi.","$12,490",White,Beige,Automatic,Sedan
188,2018 Ford Fiesta SE,Used,"42,134 mi.","$8,977",Gray,Gray,Automatic,Hatchback
189,2011 Volvo C30,Used,"132,576 mi.","$8,990",Orange,Other,Unknown,Hatchback
190,2016 Nissan Altima 2.5 S,Used,"63,634 mi.","$10,990",White,Gray,CVT,Sedan
191,2015 Toyota Corolla LE,Used,"77,507 mi.","$9,990",Silver,Gray,CVT,Sedan
192,2017 Nissan Altima 2.5 SV,Used,"60,268 mi.","$12,990",Silver,Gray,CVT,Sedan
193,2016 Dodge Dart SXT/Rallye,Used,"51,811 mi.","$10,998",Black,Black,Automatic,Sedan
194,2010 BMW 128 i,Used,"32,624 mi.","$13,990",Red,Beige,Automatic,Convertible
195,2016 GMC Terrain SLE-1,Used,"108,362 mi.","$10,890",White,Black,Automatic,SUV
196,2016 Ford Fusion S,Used,"82,196 mi.","$8,790",Red,Gray,Automatic,Sedan
197,2013 Dodge Challenger SXT,Used,"69,441 mi.","$11,995",White,Gray,Automatic,Coupe
198,2008 Scion xB,Used,"42,695 mi.","$9,990",Blue,Gray,Automatic,Wagon
199,2016 Dodge Grand Caravan SXT,Used,"70,913 mi.","$11,890",Silver,Beige,Automatic,Minivan
200,2018 Subaru Legacy 2.5i Premium,Used,"21,609 mi.","$14,491",Silver,Black,CVT,Sedan
201,2010 Kia Rio LX,Used,"74,335 mi.","$4,701",Silver,Gray,Manual,Sedan
202,2014 Subaru Forester 2.5i Premium,Used,"94,113 mi.","$9,991",Brown,Gray,CVT,SUV
203,2016 Nissan Sentra S,Used,"98,367 mi.","$9,312",White,Gray,CVT,Sedan
204,2010 Dodge Journey SXT,Used,"118,983 mi.","$6,995",Gold,Beige,Automatic,SUV
205,2011 BMW 328 i,Used,"96,803 mi.","$7,995",Black,Black,Automatic,Sedan
206,2014 Chevrolet Malibu 1LS,Used,"82,461 mi.","$9,988",Silver,Gray,Automatic,Sedan
207,2018 Nissan Sentra S,Used,"35,439 mi.","$11,838",Silver,Gray,CVT,Sedan
208,2016 Buick Encore Premium,Used,"72,096 mi.","$14,191",White,Gray,Automatic,SUV
209,2018 Chevrolet Malibu LT,Used,"46,091 mi.","$13,996",Gray,Black,Automatic,Sedan
210,2006 Nissan Xterra S,Used,"92,458 mi.","$10,788",Black,Gray,Automatic,SUV
211,2018 Nissan Sentra S,Used,"35,839 mi.","$11,237",White,Gray,CVT,Sedan
212,2019 Hyundai Accent SE,Used,"20,727 mi.","$12,511",Other,Black,Automatic,Sedan
213,2018 Nissan Sentra S,Used,"51,946 mi.","$10,699",Silver,Black,CVT,Sedan
214,2009 Ford Focus SE,Used,"82,558 mi.","$5,995",Gray,Gray,Automatic,Sedan
215,2006 Toyota Camry Solara SE Sport,Used,"72,973 mi.","$7,995",Red,Black,Automatic,Coupe
216,2013 Dodge Grand Caravan Crew,Used,"127,162 mi.","$7,450",Other,Other,Automatic,Minivan
217,2016 FIAT 500X Trekking Plus,Used,"28,500 mi.","$13,500",Red,Brown,Automatic,SUV
218,2010 Chevrolet Traverse LTZ,Used,"82,608 mi.","$10,995",Gray,Black,Automatic,SUV
219,2016 Dodge Dart SXT Sport,Used,"89,368 mi.","$9,291",Black,Black,Manual,Sedan
220,2014 Ford Fusion Titanium,Used,"57,924 mi.","$10,493",Silver,Red,Automatic,Sedan
221,2008 Subaru Impreza WRX,Used,"131,732 mi.","$11,992",White,Black,Automatic,Hatchback
222,2015 Chevrolet Impala Limited LS,Used,"40,175 mi.","$8,775",White,Black,Automatic,Sedan
223,2009 Subaru Tribeca Special Edition 7-Passenger,Used,"128,998 mi.","$9,491",Blue,Gray,Automatic,SUV
224,2019 Nissan Altima 2.5 S,Used,"32,471 mi.","$14,990",Gray,Gray,CVT,Sedan
225,2016 Dodge Journey SE,Used,"37,406 mi.","$11,990",White,Black,Automatic,SUV
226,2018 FIAT 500 Lounge,Used,"3,403 mi.","$13,998",White,Black,Automatic,Hatchback
227,2015 Volvo S60 T5 Premier,Used,"50,643 mi.","$13,800",Silver,Black,Automatic,Sedan
228,2016 Ford Fusion SE,Used,"27,240 mi.","$14,780",Black,Black,Automatic,Sedan
229,2011 Volvo XC70 3.2,Used,"91,564 mi.","$9,499",Brown,Beige,Automatic,Wagon
230,2018 Ford Fusion Hybrid SE,Used,"79,741 mi.","$11,650",White,Black,CVT,Sedan
231,2019 Ford Fusion Hybrid SE,Used,"42,618 mi.","$14,370",Black,Black,CVT,Sedan
232,2018 Subaru Impreza 2.0i Premium,Used,"15,329 mi.","$15,000",Blue,Black,CVT,Hatchback
233,2013 Lexus CT 200h Base,Used,"68,331 mi.","$12,899",Gray,Other,CVT,Hatchback
234,2016 Nissan Sentra SV,Used,"12,090 mi.","$10,950",Silver,Gray,CVT,Sedan
235,2016 Jeep Patriot Sport,Used,"56,236 mi.","$11,804",White,Gray,Automatic,SUV
236,2014 Honda CR-V LX,Used,"40,000 mi.","$10,800",Red,Gray,Automatic,SUV
237,2018 FIAT 500 Lounge,Used,"4,326 mi.","$11,950",White,Black,Automatic,Hatchback
238,2010 Subaru Forester 2.5X Limited,Used,"132,277 mi.","$11,999",White,Gray,Automatic,SUV
239,2004 Acura TSX,Used,"127,175 mi.","$6,771",Black,Black,Automatic,Sedan
240,2016 Dodge Dart SXT,Used,"14,311 mi.","$11,888",Other,Black,Automatic,Sedan
241,2008 BMW 528 i,Used,"80,241 mi.","$7,500",Silver,Gray,Automatic,Sedan
242,2018 Jeep Compass Sport,Used,"47,557 mi.","$11,995",Gray,Black,Manual,SUV
243,2015 Nissan Rogue SV,Used,"41,197 mi.","$14,995",Gray,Gray,CVT,SUV
244,2014 Cadillac ATS 2.5L Luxury,Used,"69,826 mi.","$12,995",Gray,Black,Automatic,Sedan
245,2018 Nissan Sentra SV,Used,"45,047 mi.","$12,608",Silver,Gray,Automatic,Sedan
246,2005 Ford F-250 Super Duty,Used,"216,025 mi.","$9,995",Blue,Gray,Automatic,Crew Cab Pickup
247,2011 Ford Expedition Limited,Used,"117,099 mi.","$12,995",Gray,Gray,Automatic,SUV
248,2016 Audi A3 1.8T Premium,Used,"59,637 mi.","$13,995",White,Black,Automatic,Sedan
249,2016 Chevrolet Spark EV 1LT,Used,"23,150 mi.","$9,995",Blue,Blue,Automatic,Hatchback
250,1990 Chevrolet Corvette,Used,"42,867 mi.","$7,995",Black,Black,Automatic,
251,2014 Dodge Journey SXT,Used,"75,243 mi.","$12,995",Silver,Black,Automatic,SUV
252,2010 Mazda MazdaSpeed3 Sport,Used,"123,022 mi.","$8,995",Black,Black,Manual,Hatchback
253,2019 Kia Optima LX,Used,"33,217 mi.","$14,598",Gray,Black,Automatic,Sedan
254,2015 Ford Fusion SE,Used,"96,358 mi.","$8,990",White,Other,Automatic,Sedan
255,2015 Chevrolet Express 2500 Work Van,Used,"129,730 mi.","$11,495",White,Gray,Automatic,Cargo Van
256,2016 Jeep Compass Latitude,Used,"70,446 mi.","$12,990",Red,Gray,Automatic,SUV
257,2016 Volkswagen e-Golf SE,Used,"19,655 mi.","$12,870",Silver,Black,Automatic,Hatchback
258,2015 Jeep Patriot Sport,Used,"23,029 mi.","$10,999",Gray,Gray,Manual,SUV
259,2018 Nissan Sentra SR,Used,"35,976 mi.","$13,995",Blue,Other,CVT,Sedan
260,2016 Ford Focus Electric Base,Used,"17,555 mi.","$12,974",Black,Gray,Automatic,Hatchback
261,2014 FIAT 500L Pop,Used,"83,821 mi.","$6,995",Black,Other,Manual,Hatchback
262,2017 Chevrolet Equinox LT,Used,"53,559 mi.","$14,763",Black,Black,Automatic,SUV
263,2013 Volkswagen Jetta SportWagen TDI,Used,"43,870 mi.","$12,985",White,Black,Automatic,Wagon
264,2014 Chrysler 200 Touring,Used,"61,206 mi.","$9,995",White,Other,Automatic,Convertible
265,2014 Hyundai Sonata Limited,Used,"56,477 mi.","$10,990",White,Beige,Automatic,Sedan
266,2017 Buick Encore Preferred,Used,"26,203 mi.","$13,990",Gray,Black,Automatic,SUV
267,2008 Ford Edge SEL,Used,"103,800 mi.","$6,200",Black,Other,Automatic,SUV
268,2012 Honda Civic LX,Used,"75,058 mi.","$8,990",Red,Beige,Automatic,Sedan
269,2016 Jeep Renegade Sport,Used,"49,942 mi.","$13,987",Black,Other,Automatic,SUV
